Sample.ID,Site,Transect,Diameter.1,Diameter.2,Diameter.3,Diameter.mean,Note
POC-270-T5,Manava ,5,7.146,4.971,6.436,,
POC-271-T5,Manava ,5,19.94,10.358,12.863,,
POC-272-T5,Manava ,5,21.227,11.658,18.89,,
POC-273-T5,Manava ,5,10.352,5.859,9.936,,
POC-274-T5,Manava ,5,100,100,100,,
POC-297-T5,Manava ,5,20.489,17.482,19.72,,
POC-298-T5,Manava ,5,100,100,100,,
POC-299-T5,Manava ,5,100,100,100,,
POC-300-T5,Manava ,5,15.727,11.285,14.017,,
POC-301-T5,Manava ,5,14.628,12.887,10.621,,
POC-224-T6,Manava ,6,13.918,14.331,13.812,,
POC-302-T6,Manava ,6,20.904,18.073,17.389,,
POC-303-T6,Manava ,6,2.564,2.071,2.514,,
POC-304-T6,Manava ,6,9.421,7.724,8.56,,
POC-305-T6,Manava ,6,14.261,8.754,10.579,,
POC-306-T6,Manava ,6,14.809,13.932,14.923,,
POC-307-T6,Manava ,6,17.671,16.342,18.833,,
POC-308-T6,Manava ,6,31.362,23.459,29.708,,
POC-309-T6,Manava ,6,4.281,3.506,3.908,,
POC-310-T6,Manava ,6,19.153,15.976,17.863,,
POC-311-T6,Manava ,6,3.612,1.498,2.802,,
POC-312-T6,Manava ,6,2.645,1.618,2.597,,
POC-313-T6,Manava ,6,19.803,21.977,20.958,,
POC-314-T6,Manava ,6,51.119,40.446,43.769,,
POC-315-T6,Manava ,6,1.509,1.803,2.201,,
POC-316-T6,Manava ,6,23.878,17.546,22.519,,
POC-317-T6,Manava ,6,21.479,13.794,19.967,,
POC-318-T6,Manava ,6,15.863,12.301,15.308,,
POC-319-T6,Manava ,6,11.984,8.387,10.903,,
POC-320-T6,Manava ,6,12.296,10.227,10.933,,
POC-321-T6,Manava ,6,5.269,5.37,4.971,,
POC-322-T6,Manava ,6,8.725,5.466,7.529,,
POC-323-T6,Manava ,6,21.598,17.821,19.406,,
POC-325-T6,Manava ,6,19.514,15.42,17.42,,
POC-326-T6,Manava ,6,3.346,3.032,3.178,,
POC-327-T6,Manava ,6,20.455,14.663,21.125,,
POC-328-T6,Manava ,6,12.271,13.932,18.079,,
POC-329-T6,Manava ,6,11.614,6.315,9.551,,
POC-340-T6,Manava ,6,11.321,9.341,11.675,,
POC-341-T6,Manava ,6,14.372,12.004,13.784,,
POC-342-T6,Manava ,6,17.813,9.688,16.05,,
POC-343-T6,Manava ,6,6.875,4.891,6.25,,
POC-344-T6,Manava ,6,4.521,3.887,4.043,,
POC-345-T6,Manava ,6,5.722,5.322,5.467,,
POC-346-T6,Manava ,6,15.222,13.005,15.718,,
POC-347-T6,Manava ,6,12.724,11.133,11.336,,
POC-348-T6,Manava ,6,2.342,2.22,2.712,,
POC-349-T6,Manava ,6,2.717,1.724,2.792,,
POC-350-T6,Manava ,6,2.377,1.655,2.547,,
POC-351-T6,Manava ,6,17.469,17.579,16.411,,
POC-352-T7,Manava ,7,11.412,8.886,9.748,,
POC-353-T7,Manava ,7,12.596,9.481,12.237,,
POC-354-T7,Manava ,7,25.575,18.54,24.547,,
POC-355-T7,Manava ,7,5.688,3.786,4.656,,
POC-356-T7,Manava ,7,2.98,1.61,2.339,,
POC-357-T7,Manava ,7,9.302,7.344,8.395,,
POC-358-T7,Manava ,7,11.65,9.58,11.765,,
POC-359-T7,Manava ,7,29.576,12.477,28.75,,
POC-360-T7,Manava ,7,31,29.154,26.446,,
POC-361-T7,Manava ,7,15.746,14.53,11.126,,
POC-362-T7,Manava ,7,100,100,100,,
POC-363-T7,Manava ,7,33.38,18.907,26.748,,
POC-364-T7,Manava ,7,22.721,14.261,16.552,,
POC-365-T7,Manava ,7,19.904,10.286,18.099,,
POC-366-T7,Manava ,7,14.651,13.594,13.998,,
POC-367-T7,Manava ,7,9.033,6.208,7.921,,
POC-368-T7,Manava ,7,19.807,17.32,19.638,,
POC-369-T7,Manava ,7,13.201,11.317,10.037,,
POC-370-T7,Manava ,7,3.073,1.924,2.768,,
POC-371-T7,Manava ,7,19.366,18.125,18.896,,
POC-372-T7,Manava ,7,23.477,13.799,17.563,,
POC-373-T7,Manava ,7,4.702,2.796,4.465,,
POC-374-T7,Manava ,7,24.735,21.655,20.713,,
POC-375-T7,Manava ,7,20.341,18.282,21.45,,
POC-376-T7,Manava ,7,8.269,5.689,7.462,,
POC-377-T7,Manava ,7,13.843,12.416,14.476,,
POC-378-T7,Manava ,7,22.073,18.171,19.445,,
POC-379-T7,Manava ,7,7.039,7.356,6.749,,
POC-380-T7,Manava ,7,20.231,19.032,15.576,,
POC-381-T7,Manava ,7,5.508,2.951,5.446,,
POC-382-T7,Manava ,7,2.957,2.782,2.883,,
POC-383-T7,Manava ,7,25.064,17.032,27.165,,
POC-384-T7,Manava ,7,3.468,2.833,2.626,,
POC-385-T7,Manava ,7,15.577,15.051,5.08,,
POC-386-T7,Manava ,7,15.177,7.725,15.204,,
POC-387-T7,Manava ,7,5.534,6.121,4.862,,
POC-388-T7,Manava ,7,9.827,8.591,8.396,,
POC-389-T7,Manava ,7,8.856,5.561,6.773,,
POC-390-T7,Manava ,7,3.975,2.828,3.612,,
POC-391-T7,Manava ,7,16.955,15.492,16.821,,
POC-392-T7,Manava ,7,2.52,2.103,2.325,,
POC-393-T7,Manava ,7,19.884,12.408,19.023,,
POC-394-T7,Manava ,7,100,100,100,,
POC-395-T7,Manava ,7,6.025,5.642,5.307,,
POC-396-T7,Manava ,7,25.365,12.931,21.809,,
POC-397-T7,Manava ,7,5.754,4.749,5.479,,
POC-398-T7,Manava ,7,4.514,3.412,4.728,,
POC-399-T7,Manava ,7,29.904,34.296,30.492,,
POC-400-T7,Manava ,7,100,100,100,,
POC-401-T7,Manava ,7,10.559,9.861,11.024,,
POC-402-T7,Manava ,7,11.125,2.812,8.308,,
POC-403-T7,Manava ,7,12.742,6.103,12.159,,
POC-404-T7,Manava ,7,47.648,21.735,42.714,,
POC-405-T7,Manava ,7,18.03,15.54,11.566,,
POC-406-T7,Manava ,7,9.25,6.799,8.76,,
