"","fragment_ID","micromol.cm2.h","mtORF","Temp.Cat","Timepoint","measure"
"43","POC-167",-0.391008481163624,"Haplotype_1a","22","Dec","Resp"
"44","POC-167",-0.471628851979374,"Haplotype_1a","25","Dec","Resp"
"45","POC-167",-0.603624081631523,"Haplotype_1a","28","Dec","Resp"
"46","POC-167",-0.520333545206532,"Haplotype_1a","30","Dec","Resp"
"47","POC-167",-0.756145571540529,"Haplotype_1a","32","Dec","Resp"
"48","POC-167",-0.27251986766873,"Haplotype_1a","36","Dec","Resp"
"49","POC-168",-0.270540218119327,"Haplotype_1a","22","Dec","Resp"
"50","POC-168",-0.315630125051813,"Haplotype_1a","25","Dec","Resp"
"51","POC-168",-0.448154202555998,"Haplotype_1a","28","Dec","Resp"
"52","POC-168",-0.423324262879222,"Haplotype_1a","30","Dec","Resp"
"53","POC-168",-0.498035806353873,"Haplotype_1a","32","Dec","Resp"
"54","POC-168",-0.564713278633243,"Haplotype_1a","36","Dec","Resp"
"55","POC-169",-0.258939376033109,"P_verrucosa_Haplotype_3b","22","Dec","Resp"
"56","POC-169",-0.294087500127315,"P_verrucosa_Haplotype_3b","25","Dec","Resp"
"57","POC-169",-0.501335481036685,"P_verrucosa_Haplotype_3b","28","Dec","Resp"
"58","POC-169",-0.402193109338857,"P_verrucosa_Haplotype_3b","30","Dec","Resp"
"59","POC-169",-0.291753753587252,"P_verrucosa_Haplotype_3b","32","Dec","Resp"
"60","POC-169",-0.504880884225116,"P_verrucosa_Haplotype_3b","36","Dec","Resp"
"61","POC-174",-0.217205134674935,"Haplotype_1a","22","Dec","Resp"
"62","POC-174",-0.290646953254657,"Haplotype_1a","25","Dec","Resp"
"63","POC-174",-0.426967151582976,"Haplotype_1a","28","Dec","Resp"
"64","POC-174",-0.203760111905579,"Haplotype_1a","30","Dec","Resp"
"65","POC-174",-0.319153430990808,"Haplotype_1a","32","Dec","Resp"
"66","POC-174",-0.304344938495705,"Haplotype_1a","36","Dec","Resp"
"67","POC-175",-0.371211960094435,"P_verrucosa_Haplotype_3b","22","Dec","Resp"
"68","POC-175",-0.447265564194568,"P_verrucosa_Haplotype_3b","25","Dec","Resp"
"69","POC-175",-0.574625058096565,"P_verrucosa_Haplotype_3b","28","Dec","Resp"
"70","POC-175",-0.489347654333071,"P_verrucosa_Haplotype_3b","30","Dec","Resp"
"71","POC-175",-0.502480709993814,"P_verrucosa_Haplotype_3b","32","Dec","Resp"
"72","POC-175",-0.473596602152977,"P_verrucosa_Haplotype_3b","36","Dec","Resp"
"73","POC-178",-0.37864406750145,"Haplotype_1a","22","Dec","Resp"
"74","POC-178",-0.270380534178449,"Haplotype_1a","25","Dec","Resp"
"75","POC-178",-0.584174035343513,"Haplotype_1a","28","Dec","Resp"
"76","POC-178",-0.667121732189132,"Haplotype_1a","30","Dec","Resp"
"77","POC-178",-0.665202478571202,"Haplotype_1a","32","Dec","Resp"
"78","POC-178",-0.39630908549355,"Haplotype_1a","36","Dec","Resp"
"79","POC-179",-0.334792750987395,"P_verrucosa_Haplotype_3b","22","Dec","Resp"
"80","POC-179",-0.422701899663882,"P_verrucosa_Haplotype_3b","25","Dec","Resp"
"81","POC-179",-0.426713952545991,"P_verrucosa_Haplotype_3b","28","Dec","Resp"
"82","POC-179",-0.5223167124195,"P_verrucosa_Haplotype_3b","30","Dec","Resp"
"83","POC-179",-0.488463245840447,"P_verrucosa_Haplotype_3b","32","Dec","Resp"
"84","POC-179",-0.607664659576786,"P_verrucosa_Haplotype_3b","36","Dec","Resp"
"85","POC-181",-0.216071938592945,"P_verrucosa_Haplotype_3b","22","Dec","Resp"
"86","POC-181",-0.229039599313087,"P_verrucosa_Haplotype_3b","25","Dec","Resp"
"87","POC-181",-0.374682667280022,"P_verrucosa_Haplotype_3b","28","Dec","Resp"
"88","POC-181",-0.369676945313303,"P_verrucosa_Haplotype_3b","30","Dec","Resp"
"89","POC-181",-0.391225231914243,"P_verrucosa_Haplotype_3b","32","Dec","Resp"
"90","POC-181",-0.547561874164692,"P_verrucosa_Haplotype_3b","36","Dec","Resp"
"91","POC-183",-0.361885456528406,"P_verrucosa_Haplotype_3b","22","Dec","Resp"
"92","POC-183",-0.386520034844363,"P_verrucosa_Haplotype_3b","25","Dec","Resp"
"93","POC-183",-0.662152380657353,"P_verrucosa_Haplotype_3b","28","Dec","Resp"
"94","POC-183",-0.4608677950639,"P_verrucosa_Haplotype_3b","30","Dec","Resp"
"95","POC-183",-0.650765723771823,"P_verrucosa_Haplotype_3b","32","Dec","Resp"
"96","POC-183",-0.65306885176841,"P_verrucosa_Haplotype_3b","36","Dec","Resp"
