type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47699901,-149.8070806,-17.47699901,-149.8070806,,FALSE,FALSE,,,25.43,,,2022/05/02 18:45:14+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47693364,-149.807058,-17.47693364,-149.807058,,FALSE,FALSE,,,24.91,,,2022/05/02 18:45:33+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47694395,-149.8070599,-17.47694395,-149.8070599,,FALSE,FALSE,,,25.06,,,2022/05/02 18:45:42+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47700312,-149.8071471,-17.47700312,-149.8071471,,FALSE,FALSE,,,26.96,,,2022/05/02 18:57:23+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47700899,-149.807132,-17.47700899,-149.807132,,FALSE,FALSE,,,26.62,,,2022/05/02 18:57:48+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47701318,-149.8071285,-17.47701318,-149.8071285,,FALSE,FALSE,,,26.71,,,2022/05/02 18:58:15+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47703623,-149.8071225,-17.47703623,-149.8071225,,FALSE,FALSE,,,27.36,,,2022/05/02 18:58:42+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47701578,-149.8071218,-17.47701578,-149.8071218,,FALSE,FALSE,,,27.38,,,2022/05/02 18:59:03+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47699935,-149.8071091,-17.47699935,-149.8071091,,FALSE,FALSE,,,27.6,,,2022/05/02 18:59:19+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47700379,-149.8071107,-17.47700379,-149.8071107,,FALSE,FALSE,,,27.04,,,2022/05/02 18:59:44+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47701829,-149.8071156,-17.47701829,-149.8071156,,FALSE,FALSE,,,27.39,,,2022/05/02 19:00:16+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47668922,-149.8070567,-17.47668922,-149.8070567,,FALSE,FALSE,,,23.5,,,2022/05/02 19:03:25+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47672183,-149.8070027,-17.47672183,-149.8070027,,FALSE,FALSE,,,22.79,,,2022/05/02 19:03:32+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47675577,-149.8069484,-17.47675577,-149.8069484,,FALSE,FALSE,,,28.32,,,2022/05/02 19:04:12+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47679684,-149.8069886,-17.47679684,-149.8069886,,FALSE,FALSE,,,30.08,,,2022/05/02 19:04:30+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47687069,-149.8069405,-17.47687069,-149.8069405,,FALSE,FALSE,,,32.34,,,2022/05/02 19:07:17+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47685183,-149.8069434,-17.47685183,-149.8069434,,FALSE,FALSE,,,27.46,,,2022/05/02 19:07:30+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47683523,-149.8069498,-17.47683523,-149.8069498,,FALSE,FALSE,,,25.32,,,2022/05/02 19:07:57+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47683691,-149.8069804,-17.47683691,-149.8069804,,FALSE,FALSE,,,24.35,,,2022/05/02 19:08:18+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47695392,-149.8069432,-17.47695392,-149.8069432,,FALSE,FALSE,,,30.36,,,2022/05/02 19:10:03+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47695451,-149.8069625,-17.47695451,-149.8069625,,FALSE,FALSE,,,33.1,,,2022/05/02 19:10:14+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47698083,-149.8069903,-17.47698083,-149.8069903,,FALSE,FALSE,,,30.43,,,2022/05/02 19:10:34+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47704302,-149.8070008,-17.47704302,-149.8070008,,FALSE,FALSE,,,26.94,,,2022/05/02 19:11:10+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47683213,-149.8068404,-17.47683213,-149.8068404,,FALSE,FALSE,,,34.29,,,2022/05/02 19:12:48+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47683188,-149.8068811,-17.47683188,-149.8068811,,FALSE,FALSE,,,28.29,,,2022/05/02 19:13:01+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47685568,-149.806916,-17.47685568,-149.806916,,FALSE,FALSE,,,21.71,,,2022/05/02 19:13:32+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47683758,-149.8068815,-17.47683758,-149.8068815,,FALSE,FALSE,,,27.87,,,2022/05/02 19:15:22+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47680858,-149.806866,-17.47680858,-149.806866,,FALSE,FALSE,,,31.53,,,2022/05/02 19:15:45+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47682056,-149.8068687,-17.47682056,-149.8068687,,FALSE,FALSE,,,29.73,,,2022/05/02 19:16:10+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47680615,-149.8068454,-17.47680615,-149.8068454,,FALSE,FALSE,,,28.64,,,2022/05/02 19:16:35+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47681947,-149.8067697,-17.47681947,-149.8067697,,FALSE,FALSE,,,14.49,,,2022/05/02 19:17:28+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47678008,-149.8068315,-17.47678008,-149.8068315,,FALSE,FALSE,,,21.18,,,2022/05/02 19:17:44+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47684227,-149.8068507,-17.47684227,-149.8068507,,FALSE,FALSE,,,15.92,,,2022/05/02 19:18:27+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47678997,-149.8068221,-17.47678997,-149.8068221,,FALSE,FALSE,,,14.84,,,2022/05/02 19:19:33+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47677865,-149.8067993,-17.47677865,-149.8067993,,FALSE,FALSE,,,20.56,,,2022/05/02 19:19:43+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47677966,-149.8068174,-17.47677966,-149.8068174,,FALSE,FALSE,,,23.15,,,2022/05/02 19:20:17+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47682132,-149.8068128,-17.47682132,-149.8068128,,FALSE,FALSE,,,20.84,,,2022/05/02 19:20:40+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.4767784,-149.8066919,-17.4767784,-149.8066919,,FALSE,FALSE,,,35.79,,,2022/05/02 19:21:34+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47679768,-149.8067869,-17.47679768,-149.8067869,,FALSE,FALSE,,,20.91,,,2022/05/02 19:21:51+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47673532,-149.8067368,-17.47673532,-149.8067368,,FALSE,FALSE,,,26.9,,,2022/05/02 19:23:05+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47670188,-149.8067475,-17.47670188,-149.8067475,,FALSE,FALSE,,,23.81,,,2022/05/02 19:23:21+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47670682,-149.8067643,-17.47670682,-149.8067643,,FALSE,FALSE,,,29.82,,,2022/05/02 19:24:00+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47676088,-149.8067755,-17.47676088,-149.8067755,,FALSE,FALSE,,,11.54,,,2022/05/02 19:25:14+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47679156,-149.8068392,-17.47679156,-149.8068392,,FALSE,FALSE,,,21.29,,,2022/05/02 19:28:56+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47677748,-149.8068536,-17.47677748,-149.8068536,,FALSE,FALSE,,,19.92,,,2022/05/02 19:29:11+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47676415,-149.8068643,-17.47676415,-149.8068643,,FALSE,FALSE,,,17.53,,,2022/05/02 19:29:30+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47678217,-149.8068941,-17.47678217,-149.8068941,,FALSE,FALSE,,,15.41,,,2022/05/02 19:31:01+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47678025,-149.8068804,-17.47678025,-149.8068804,,FALSE,FALSE,,,14.65,,,2022/05/02 19:31:06+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47677471,-149.806891,-17.47677471,-149.806891,,FALSE,FALSE,,,15.62,,,2022/05/02 19:31:22+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47679525,-149.8068871,-17.47679525,-149.8068871,,FALSE,FALSE,,,18.37,,,2022/05/02 19:31:58+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47675627,-149.806976,-17.47675627,-149.806976,,FALSE,FALSE,,,36.48,,,2022/05/02 19:32:33+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47675544,-149.80692,-17.47675544,-149.80692,,FALSE,FALSE,,,19.12,,,2022/05/02 19:32:46+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47669182,-149.8068774,-17.47669182,-149.8068774,,FALSE,FALSE,,,18.95,,,2022/05/02 19:32:59+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47668075,-149.8068925,-17.47668075,-149.8068925,,FALSE,FALSE,,,15.66,,,2022/05/02 19:37:23+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47670649,-149.8068858,-17.47670649,-149.8068858,,FALSE,FALSE,,,10.81,,,2022/05/02 19:37:37+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47669517,-149.8069173,-17.47669517,-149.8069173,,FALSE,FALSE,,,11.4,,,2022/05/02 19:37:59+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47669467,-149.8069226,-17.47669467,-149.8069226,,FALSE,FALSE,,,11.41,,,2022/05/02 19:38:02+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47665913,-149.8069064,-17.47665913,-149.8069064,,FALSE,FALSE,,,16.38,,,2022/05/02 19:38:54+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47667078,-149.8069521,-17.47667078,-149.8069521,,FALSE,FALSE,,,18.43,,,2022/05/02 19:40:59+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.4766629,-149.8069651,-17.4766629,-149.8069651,,FALSE,FALSE,,,18.17,,,2022/05/02 19:41:17+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47676994,-149.8069804,-17.47676994,-149.8069804,,FALSE,FALSE,,,43.14,,,2022/05/02 19:42:06+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47673155,-149.806992,-17.47673155,-149.806992,,FALSE,FALSE,,,21.72,,,2022/05/02 19:42:08+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47671889,-149.8069949,-17.47671889,-149.8069949,,FALSE,FALSE,,,19.83,,,2022/05/02 19:42:26+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47672442,-149.806934,-17.47672442,-149.806934,,FALSE,FALSE,,,16.55,,,2022/05/02 19:46:42+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.4767629,-149.8069524,-17.4767629,-149.8069524,,FALSE,FALSE,,,14.08,,,2022/05/02 19:47:15+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47659836,-149.8068863,-17.47659836,-149.8068863,,FALSE,FALSE,,,8.23,,,2022/05/02 19:48:34+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47652653,-149.8069832,-17.47652653,-149.8069832,,FALSE,FALSE,,,22,,,2022/05/02 19:56:32+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.476536,-149.8069963,-17.476536,-149.8069963,,FALSE,FALSE,,,12.12,,,2022/05/02 19:56:48+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47652158,-149.8069441,-17.47652158,-149.8069441,,FALSE,FALSE,,,8.81,,,2022/05/02 20:00:22+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47649266,-149.8070207,-17.47649266,-149.8070207,,FALSE,FALSE,,,8.35,,,2022/05/02 20:04:23+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47650239,-149.8070692,-17.47650239,-149.8070692,,FALSE,FALSE,,,11.13,,,2022/05/02 20:06:51+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47654228,-149.807067,-17.47654228,-149.807067,,FALSE,FALSE,,,13.14,,,2022/05/02 20:07:39+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47644698,-149.8070709,-17.47644698,-149.8070709,,FALSE,FALSE,,,17.18,,,2022/05/02 20:10:57+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47642905,-149.8070891,-17.47642905,-149.8070891,,FALSE,FALSE,,,17.42,,,2022/05/02 20:11:40+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47643894,-149.8070783,-17.47643894,-149.8070783,,FALSE,FALSE,,,18.73,,,2022/05/02 20:11:58+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47646349,-149.8070725,-17.47646349,-149.8070725,,FALSE,FALSE,,,18.65,,,2022/05/02 20:12:09+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47645184,-149.8070588,-17.47645184,-149.8070588,,FALSE,FALSE,,,17.34,,,2022/05/02 20:12:23+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47643508,-149.807107,-17.47643508,-149.807107,,FALSE,FALSE,,,14.44,,,2022/05/02 20:13:07+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47645495,-149.8070772,-17.47645495,-149.8070772,,FALSE,FALSE,,,17.25,,,2022/05/02 20:13:18+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47645956,-149.807077,-17.47645956,-149.807077,,FALSE,FALSE,,,13.92,,,2022/05/02 20:14:37+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47643064,-149.807187,-17.47643064,-149.807187,,FALSE,FALSE,,,11.72,,,2022/05/02 20:17:28+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.4764982,-149.8071786,-17.4764982,-149.8071786,,FALSE,FALSE,,,26.92,,,2022/05/02 20:18:33+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47649317,-149.8072226,-17.47649317,-149.8072226,,FALSE,FALSE,,,7.62,,,2022/05/02 20:18:50+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47653415,-149.8072219,-17.47653415,-149.8072219,,FALSE,FALSE,,,7.36,,,2022/05/02 20:19:33+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47703413,-149.8070948,-17.47703413,-149.8070948,,FALSE,FALSE,,,10.51,,,2022/05/02 20:23:51+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.4770136,-149.8071104,-17.4770136,-149.8071104,,FALSE,FALSE,,,12.48,,,2022/05/02 20:24:05+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47701528,-149.8071099,-17.47701528,-149.8071099,,FALSE,FALSE,,,11.43,,,2022/05/02 20:24:25+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47700606,-149.8071118,-17.47700606,-149.8071118,,FALSE,FALSE,,,11.29,,,2022/05/02 20:24:42+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47700857,-149.8071117,-17.47700857,-149.8071117,,FALSE,FALSE,,,10.72,,,2022/05/02 20:25:09+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47701586,-149.8071122,-17.47701586,-149.8071122,,FALSE,FALSE,,,9.94,,,2022/05/02 20:25:36+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47701167,-149.8071192,-17.47701167,-149.8071192,,FALSE,FALSE,,,8.91,,,2022/05/02 20:26:08+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47702072,-149.8071188,-17.47702072,-149.8071188,,FALSE,FALSE,,,8.8,,,2022/05/02 20:26:51+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47701838,-149.8071233,-17.47701838,-149.8071233,,FALSE,FALSE,,,8.44,,,2022/05/02 20:27:14+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47702148,-149.8071061,-17.47702148,-149.8071061,,FALSE,FALSE,,,9.24,,,2022/05/02 20:27:57+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47702206,-149.8071091,-17.47702206,-149.8071091,,FALSE,FALSE,,,9.27,,,2022/05/02 20:28:16+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.477025,-149.8071201,-17.477025,-149.8071201,,FALSE,FALSE,,,9.45,,,2022/05/02 20:28:42+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47704042,-149.8071113,-17.47704042,-149.8071113,,FALSE,FALSE,,,9.21,,,2022/05/02 20:29:21+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47704092,-149.8071099,-17.47704092,-149.8071099,,FALSE,FALSE,,,9.21,,,2022/05/02 20:29:40+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.4770504,-149.8071127,-17.4770504,-149.8071127,,FALSE,FALSE,,,9.2,,,2022/05/02 20:29:55+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47703975,-149.807109,-17.47703975,-149.807109,,FALSE,FALSE,,,7.24,,,2022/05/02 20:30:07+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47704109,-149.8070913,-17.47704109,-149.8070913,,FALSE,FALSE,,,6.81,,,2022/05/02 20:30:21+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47704847,-149.8070915,-17.47704847,-149.8070915,,FALSE,FALSE,,,8.82,,,2022/05/02 20:30:40+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47704361,-149.8071001,-17.47704361,-149.8071001,,FALSE,FALSE,,,8.91,,,2022/05/02 20:31:04+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47704855,-149.8070949,-17.47704855,-149.8070949,,FALSE,FALSE,,,8.84,,,2022/05/02 20:31:23+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47704771,-149.8070989,-17.47704771,-149.8070989,,FALSE,FALSE,,,8.34,,,2022/05/02 20:31:42+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47704319,-149.8071163,-17.47704319,-149.8071163,,FALSE,FALSE,,,8.24,,,2022/05/02 20:32:12+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47702911,-149.8071107,-17.47702911,-149.8071107,,FALSE,FALSE,,,7.53,,,2022/05/02 20:32:58+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47697907,-149.8070633,-17.47697907,-149.8070633,,FALSE,FALSE,,,7.61,,,2022/05/02 20:33:15+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47704662,-149.8071317,-17.47704662,-149.8071317,,FALSE,FALSE,,,7.6,,,2022/05/02 20:33:33+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47710949,-149.8071236,-17.47710949,-149.8071236,,FALSE,FALSE,,,7.17,,,2022/05/02 20:33:51+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47738793,-149.807163,-17.47738793,-149.807163,,FALSE,FALSE,,,6.37,,,2022/05/02 20:34:15+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47805119,-149.8070413,-17.47805119,-149.8070413,,FALSE,FALSE,,,6.24,,,2022/05/02 20:34:54+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.4781377,-149.8067137,-17.4781377,-149.8067137,,FALSE,FALSE,,,7.14,,,2022/05/02 20:35:13+00,garmin GPSMAP 64 Software Version 470,,,
TRACK,Current Track: 12 JAN 2020 07:25,T8726,-17.47833224,-149.8064864,-17.47833224,-149.8064864,,FALSE,FALSE,,,7.01,,,2022/05/02 20:35:30+00,garmin GPSMAP 64 Software Version 470,,,
