,type,ident,Latitude,Longitude,y_proj,x_proj,comment,display,symbol,dist,proximity,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,zip,facility,crossroad,ete,dtype,model,filename,ltime,magvar,geoidheight,desc,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,dir
,WAYPOINT,170,-17.4768,-149.806171,-17.4768,-149.806171,,,"Flag, Blue",,,,12.135839,,,2022/05/24 02:37:50+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/23/22 16:37,,,,,,,,,,,
,WAYPOINT,171,-17.476786,-149.806192,-17.476786,-149.806192,,,"Flag, Blue",,,,10.353226,,,2022/05/24 02:40:58+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/23/22 16:40,,,,,,,,,,,
,WAYPOINT,172,-17.47691,-149.806505,-17.47691,-149.806505,,,"Flag, Blue",,,,5.267744,,,2022/05/25 02:30:37+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/24/22 16:30,,,,,,,,,,,
,WAYPOINT,173,-17.47682,-149.80639,-17.47682,-149.80639,,,"Flag, Blue",,,,2.451668,,,2022/05/25 02:36:01+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/24/22 16:36,,,,,,,,,,,
,WAYPOINT,174,-17.476642,-149.806221,-17.476642,-149.806221,,,"Flag, Blue",,,,6.509537,,,2022/05/25 02:39:59+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/24/22 16:39,,,,,,,,,,,
,WAYPOINT,175,-17.476638,-149.806187,-17.476638,-149.806187,,,"Flag, Blue",,,,16.130817,,,2022/05/25 02:43:34+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/24/22 16:43,,,,,,,,,,,
,WAYPOINT,177,-17.49051,-149.826764,-17.49051,-149.826764,,,"Flag, Blue",,,,,,,2022/05/25 17:03:17+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/25/22 7:03,,,,,,,,,,,
,WAYPOINT,178,-17.476826,-149.806194,-17.476826,-149.806194,,,"Flag, Blue",,,,26.12344,,,2022/05/26 02:55:43+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/25/22 16:55,,,,,,,,,,,
,WAYPOINT,179,-17.476826,-149.806194,-17.476826,-149.806194,,,"Flag, Blue",,,,26.12344,,,2022/05/26 02:55:43+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/25/22 16:55,,,,,,,,,,,
,WAYPOINT,180,-17.476652,-149.806278,-17.476652,-149.806278,,,"Flag, Blue",,,,12.504818,,,2022/05/26 03:06:29+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/25/22 17:06,,,,,,,,,,,
,WAYPOINT,181,-17.476747,-149.80658,-17.476747,-149.80658,,,"Flag, Blue",,,,-2.975256,,,2022/05/29 00:06:05+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/28/22 14:06,,,,,,,,,,,
,WAYPOINT,182,-17.476823,-149.806542,-17.476823,-149.806542,,,"Flag, Blue",,,,4.415548,,,2022/05/28 23:51:13+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/28/22 13:51,,,,,,,,,,,
,WAYPOINT,183,-17.476759,-149.806528,-17.476759,-149.806528,,,"Flag, Blue",,,,4.705953,,,2022/05/29 00:01:31+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/28/22 14:01,,,,,,,,,,,
,WAYPOINT,184,-17.476849,-149.806583,-17.476849,-149.806583,,,"Flag, Blue",,,,1.522765,,,2022/05/28 23:58:12+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/28/22 13:58,,,,,,,,,,,
,WAYPOINT,T1E,-17.476508,-149.805617,-17.476508,-149.805617,,,"Flag, Blue",,,,12.613648,,,2022/05/31 21:18:21+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/31/22 11:18,,,,,,,,,,,
,WAYPOINT,T1S,-17.476816,-149.805543,-17.476816,-149.805543,,,"Flag, Blue",,,,95.122116,,,2022/05/31 21:15:39+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/31/22 11:15,,,,,,,,,,,
,WAYPOINT,T2E,-17.476581,-149.806028,-17.476581,-149.806028,,,"Flag, Blue",,,,8.252097,,,2022/05/31 21:45:38+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/31/22 11:45,,,,,,,,,,,
,WAYPOINT,T2S,-17.476957,-149.805804,-17.476957,-149.805804,,,"Flag, Blue",,,,6.138955,,,2022/05/31 21:40:57+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/31/22 11:40,,,,,,,,,,,
,WAYPOINT,T3E,-17.476579,-149.806128,-17.476579,-149.806128,,,"Flag, Blue",,,,2.42029,,,2022/05/31 22:11:14+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/31/22 12:11,,,,,,,,,,,
,WAYPOINT,T3S,-17.476895,-149.805952,-17.476895,-149.805952,,,"Flag, Blue",,,,9.913288,,,2022/05/31 22:07:11+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/31/22 12:07,,,,,,,,,,,
,WAYPOINT,T4E,-17.476383,-149.807914,-17.476383,-149.807914,,,"Flag, Blue",,,,9.652002,,,2022/06/01 01:35:05+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/31/22 15:35,,,,,,,,,,,
,WAYPOINT,T4S,-17.476798,-149.80776,-17.476798,-149.80776,,,"Flag, Blue",,,,11.223022,,,2022/06/01 01:29:56+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/31/22 15:29,,,,,,,,,,,
,WAYPOINT,T5E,-17.476331,-149.808001,-17.476331,-149.808001,,,"Flag, Blue",,,,9.504456,,,2022/06/01 02:35:37+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/31/22 16:35,,,,,,,,,,,
,WAYPOINT,T5S,-17.476751,-149.807845,-17.476751,-149.807845,,,"Flag, Blue",,,,12.576516,,,2022/06/01 02:31:17+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,5/31/22 16:31,,,,,,,,,,,
,WAYPOINT,T6E,-17.476311,-149.808255,-17.476311,-149.808255,,,"Flag, Blue",,,,4.926161,,,2022/06/02 01:04:50+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,6/1/22 15:04,,,,,,,,,,,
,WAYPOINT,T6S,-17.476667,-149.808018,-17.476667,-149.808018,,,"Flag, Blue",,,,5.101141,,,2022/06/02 01:01:27+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,6/1/22 15:01,,,,,,,,,,,
,WAYPOINT,T7E,-17.476317,-149.80845,-17.476694,-149.808191,,,"Flag, Blue",,,,9.94356,,,2022/06/02 01:58:53+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,6/1/22 15:58,,,,,,,,,,,
,WAYPOINT,T7S,-17.476686,-149.808172,-17.476686,-149.808172,,,"Flag, Blue",,,,12.043787,,,2022/06/02 01:54:04+00,,,,,,,,,,,,,,garmin GPSMAP 64 Software Version 470,,6/1/22 15:54,,,,,,,,,,,
