fragment_ID,Timepoint,partner,Morphology,AFDW.mg.cm2,DW.mg.cm2
POC-171,May,Sym,grandis,0.5483211911409424,124.35657141324685
POC-172,May,Host,grandis,2.8781933570436173,201.57011866275144
POC-172,May,Sym,grandis,1.5298853280392857,150.28934118139432
POC-173,May,Host,verrucosa,3.5737412883978785,126.11413783678074
POC-173,May,Sym,verrucosa,0.8408803031524469,90.88670328480642
POC-174,Dec,Host,meandrina,2.005383136674559,181.05801789491352
POC-174,May,Host,meandrina,1.761671734569844,179.40051865597073
POC-174,Dec,Sym,meandrina,1.225932332608602,130.80913064781598
POC-174,May,Sym,meandrina,0.9019759280997179,132.58124653236
POC-175,Dec,Host,verrucosa,4.387979573491774,494.45256240155595
POC-175,May,Host,verrucosa,3.561050138107144,158.18697170026286
POC-175,Dec,Sym,verrucosa,1.6407227970447187,376.6686976544029
POC-175,May,Sym,verrucosa,7.078175428695777,117.60504412470794
POC-177,May,Host,verrucosa,3.5823956506239774,184.33874418258512
POC-177,May,Sym,verrucosa,3.1740795872195346,128.4665790214245
POC-178,Dec,Host,grandis,5.808015339348594,353.4346350313017
POC-178,May,Host,grandis,3.517123088663689,225.23265468348066
POC-178,Dec,Sym,grandis,2.0392587191490468,261.00790711674097
POC-178,May,Sym,grandis,1.457093851017846,162.2342808834401
POC-178.2,Dec,Host,grandis,9.557242521683552,624.6048577652921
POC-178.2,Dec,Sym,grandis,4.2183691130189604,474.7782980853253
POC-179,Dec,Host,verrucosa,6.989050353159857,299.98152187285774
POC-179,May,Host,verrucosa,4.11010786301919,178.74008729126314
POC-179,Dec,Sym,verrucosa,1.3539326244686563,214.74479906923
POC-179,May,Sym,verrucosa,0.6519481437892674,126.65431233981077
POC-180,May,Host,meandrina,3.736709431748606,246.30970008469083
POC-180,May,Sym,meandrina,1.0089115465721212,177.31585831843577
POC-181,Dec,Host,verrucosa,3.745429961944897,156.56041365218567
POC-181,May,Host,verrucosa,2.422494778523158,167.30799252902307
POC-181,Dec,Sym,verrucosa,1.0376948812314895,111.12559183676629
POC-181,May,Sym,verrucosa,0.3794677135588588,119.09865238411979
POC-182,May,Host,verrucosa,3.2091293857697796,191.01339384897702
POC-182,May,Sym,verrucosa,0.7314663627900038,140.48015601872015
POC-183,May,Host,verrucosa,4.200248290494537,274.53573791309896
POC-183,May,Sym,verrucosa,1.154424070025505,201.63842257800016
POC-184,May,Host,verrucosa,2.5417823547762914,104.806989743105
POC-184,May,Sym,verrucosa,0.47845314913435644,78.02108922203578
