Pan.ID,fragment_ID,partner,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g,dry.pan.mass.g.ml,burnt.pan.mass.g.ml,homog_vol_ml,date_airbrushed,initials,note,dry.pan.mass.g.vol.corr,burnt.pan.mass.g.vol.corr,site,species,surface.area.cm2,dry.bioimass.g,AFDW.mg.cm2,DW.mg.cm2
98,POC-166,Sym,1.1488,1.1669,1.1604,0.291725,0.2901,20,2022802,DMBP,,5.8345,5.8020000000000005,Manava,Pocillopora,38.581402258623314,0.03249999999999975,0.8423747737871733,NA
149,POC-167,Sym,1.1342,1.1519,1.1453,0.287975,0.286325,22.5,2022802,DMBP,,6.4794374999999995,6.4423125,Manava,Pocillopora,27.30969309580655,0.03712499999999963,1.3594074407852,NA
174,POC-167,Host,1.1429,1.2123,1.1971,0.24245999999999998,0.23942000000000002,22.5,2022802,DMBP,,5.455349999999999,5.386950000000001,Manava,Pocillopora,27.30969309580655,0.06839999999999868,2.504605224234527,NA
219,POC-168,Host,1.1331,1.206,1.1904,0.2412,0.23807999999999999,22.5,2022802,DMBP,,5.427,5.3568,Manava,Pocillopora,36.49858643505941,0.07019999999999982,1.9233621588305645,NA
253,POC-168,Sym,1.1263,1.1466,1.1379,0.28665,0.284475,22.5,2022802,DMBP,,6.449625,6.400687499999999,Manava,Pocillopora,36.49858643505941,0.048937500000000966,1.3408053511078752,NA
109,POC-169,Sym,1.1534,1.1719,1.1657,0.292975,0.291425,20,2022802,DMBP,,5.8595,5.8285,Manava,Pocillopora,36.65173465738026,0.030999999999999694,0.8457989857720821,NA
282,POC-169,Host,1.1612,1.2368,1.2186,0.24735999999999997,0.24372,20,2022802,DMBP,,4.9472,4.8744,Manava,Pocillopora,36.65173465738026,0.07279999999999998,1.9862634246518764,NA
61,POC-170,Host,1.1433,1.2294,1.2044,0.24588000000000002,0.24087999999999998,16,2022802,DMBP,,3.9340800000000002,3.8540799999999997,Manava,Pocillopora,31.199657942756886,0.08000000000000052,2.5641306756240514,NA
97,POC-170,Sym,1.1214,1.1385,1.1333,0.284625,0.283325,16,2022802,DMBP,,4.554,4.5332,Manava,Pocillopora,31.199657942756886,0.020800000000000374,0.666673975662261,NA
72,POC-171,Sym,1.1427,1.1584,1.1543,0.2896,0.288575,25,2022802,DMBP,,7.24,7.214375,Manava,Pocillopora,37.38684612452046,0.025624999999999787,0.6854014889261661,NA
107,POC-171,Host,1.1256,1.1954,1.1791,0.23908000000000001,0.23582,25,2022802,DMBP,,5.977,5.8955,Manava,Pocillopora,37.38684612452046,0.08150000000000013,2.17991107697495,NA
212,POC-172,Host,1.1235,1.1933,1.1784,0.23866,0.23567999999999997,30,2022802,DMBP,,7.159800000000001,7.070399999999999,Manava,Pocillopora,38.82643941433681,0.08940000000000126,2.302554685634912,NA
277,POC-172,Sym,1.1398,1.1625,1.1526,0.290625,0.28815,30,2022802,DMBP,,8.71875,8.6445,Manava,Pocillopora,38.82643941433681,0.07424999999999926,1.9123566600490842,NA
58,POC-173,Host,1.1374,1.2315,1.2009,0.24630000000000002,0.24018,30,2022802,DMBP,,7.389,7.2054,Manava,Pocillopora,64.21841467513882,0.1836000000000002,2.858993030718308,NA
75,POC-173,Sym,1.1414,1.163,1.154,0.29075,0.2885,30,2022802,DMBP,,8.7225,8.655,Manava,Pocillopora,64.21841467513882,0.06750000000000078,1.0511003789405655,NA
104,POC-174,Sym,1.1407,1.1601,1.1537,0.290025,0.288425,26,2022802,DMBP,,7.540649999999999,7.4990499999999995,Manava,Pocillopora,36.896771813093636,0.04159999999999986,1.1274699101246894,NA
285,POC-174,Host,1.1261,1.1916,1.1816,0.23832,0.23632,26,2022802,DMBP,,6.19632,6.1443200000000004,Manava,Pocillopora,36.896771813093636,0.0519999999999996,1.409337387655856,NA
88,POC-175,Sym,1.1441,1.2095,1.1531,0.302375,0.288275,21,2022802,DMBP,,6.349875,6.053775,Manava,Pocillopora,33.46625163310591,0.29610000000000003,8.847719285869715,NA
101,POC-175,Host,1.1473,1.2269,1.2042,0.24538000000000001,0.24084,21,2022802,DMBP,,5.15298,5.05764,Manava,Pocillopora,33.46625163310591,0.0953400000000002,2.8488401104857153,NA
223,POC-177,Sym,1.145,1.1609,1.1403,0.290225,0.285075,17.5,2022802,DMBP,,5.0789375,4.988812500000001,Manava,Pocillopora,22.715246426180126,0.09012499999999957,3.9675994840244093,NA
239,POC-177,Host,1.1502,1.22,1.2014,0.244,0.24028,17.5,2022802,DMBP,,4.27,4.2049,Manava,Pocillopora,22.715246426180126,0.06509999999999927,2.8659165204991663,NA
60,POC-178,Sym,1.1378,1.1583,1.1496,0.289575,0.2874,30,2022802,DMBP,,8.68725,8.622,Manava,Pocillopora,35.82473425684753,0.0652500000000007,1.821367313772295,NA
203,POC-178,Host,1.1576,1.2302,1.2134,0.24603999999999998,0.24268,30,2022802,DMBP,,7.3812,7.2804,Manava,Pocillopora,35.82473425684753,0.10079999999999956,2.813698470930951,NA
114,POC-179,Host,1.1367,1.211,1.1878,0.24220000000000003,0.23756,22.5,2022802,DMBP,,5.4495000000000005,5.3450999999999995,Manava,Pocillopora,31.750991543112022,0.10440000000000094,3.2880862904153685,NA
167,POC-179,Sym,1.1284,1.1444,1.1398,0.2861,0.28495,22.5,2022802,DMBP,,6.437250000000001,6.411375,Manava,Pocillopora,31.750991543112022,0.02587500000000098,0.8149351797365911,NA
2,POC-180,Sym,1.144,1.1609,1.1555,0.290225,0.288875,27,2022802,DMBP,,7.836075,7.799625,Manava,Pocillopora,28.902434607943697,0.036450000000000315,1.261139433215159,NA
166,POC-180,Host,1.1552,1.2258,1.2098,0.24516,0.24196,27,2022802,DMBP,,6.61932,6.53292,Manava,Pocillopora,28.902434607943697,0.08640000000000025,2.989367545398879,NA
21,POC-181,Host,1.1519,1.218,1.2037,0.24359999999999998,0.24074,20,2022802,DMBP,,4.872,4.8148,Manava,Pocillopora,29.51502749722721,0.05719999999999992,1.9379958228185143,NA
85,POC-181,Sym,1.1536,1.1672,1.1644,0.2918,0.2911,20,2022802,DMBP,,5.836,5.822000000000001,Manava,Pocillopora,29.51502749722721,0.013999999999999346,0.47433464194856595,NA
39,POC-182,Host,1.1331,1.2049,1.187,0.24098000000000003,0.2374,32.5,2022802,DMBP,,7.831850000000001,7.7155,Manava,Pocillopora,45.31992404074214,0.11635000000000151,2.5673035086158587,NA
113,POC-182,Sym,1.1377,1.1545,1.1494,0.288625,0.28735,32.5,2022802,DMBP,,9.3803125,9.338875,Manava,Pocillopora,45.31992404074214,0.04143750000000068,0.9143329534874949,NA
117,POC-183,Sym,1.1212,1.1383,1.1327,0.284575,0.283175,35,2022802,DMBP,,9.960125000000001,9.911125,Manava,Pocillopora,33.95632594453273,0.049000000000001265,1.443030087531914,NA
286,POC-183,Host,1.1244,1.1939,1.1776,0.23878,0.23552,35,2022802,DMBP,,8.3573,8.2432,Manava,Pocillopora,33.95632594453273,0.11410000000000053,3.3601986323956714,NA
12,POC-184,Host,1.412,1.2177,1.1973,0.24354,0.23946,15,2022802,DMBP,,3.6531000000000002,3.5919,Manava,Pocillopora,30.096990742046557,0.061200000000000365,2.033425883821063,NA
22,POC-184,Sym,1.1489,1.1657,1.1609,0.291425,0.290225,15,2022802,DMBP,,4.371375,4.353375,Manava,Pocillopora,30.096990742046557,0.017999999999999794,0.5980664364179492,NA
